Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,New operator,,,,,,,,,,,,,,
,Reason for selecting this opearation,Dart seam,,,,,,,,,,,,,
,Date,,,,,,,,,,,,,,
,Line,Line 2A,,Average cycle time,,,,,,,,,,,
,TK. NO,,,Average cycle time (90% eff),,,,,,,,,,Before Actual,
,Operator name ,Sureka,,Capacity @ 15% allowance,,,,,,,,,,20,
,Operation,Time  (min),5.0,10,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60,Total 
,,PCS,,,,,,,,,,,,,0
,Thread cut,,,,,,,,,,,,,,
,power cut,,,,,,,,,,,,,,
,Rework,,,,,,,,,,,,,,
,Total time utilized ,60,,,,,,,,,,,,,
,total time wasted,0,,,,,,,,,,,,,
,If wasted time utilised,,,,,,,,,,,,,,
